,P1,P2,P3,Cluster,ID
0,-5.324167578292878,-6.294214841012952,-3.687010626488345,3,CIA_30
1,3.6762632946677836,0.21107114022678283,9.068986965581095,0,CIA_08
2,0.5665912256347337,3.807160323829246,7.148882570053172,0,CIA_37
3,-2.020803188232146,-6.668107081910703,7.763155247888604,1,CIA_01
4,-6.261998566320905,-5.451683536590118,5.211538776305224,1,CIA_39
5,1.3419258147550663,-4.489227554078893,9.677205734252011,0,CIA_06
6,4.770819404712765,-6.705513367900717,5.191433157333087,0,FBI_10
7,3.021906808455255,-9.07384447779048,0.6545100241459223,0,FBI_28
8,3.3332591085484666,4.94512554193989,8.962910756406522,0,FBI_17
9,3.088296529408751,6.596937443006644,-6.932500174630272,0,FBI_21
10,5.136043492046275,1.8616713128964923,-5.9166853908047905,0,FBI_19
11,6.249792410591217,-3.130059844745727,-6.500027355916211,3,FBI_26
12,-5.138198110905395,2.852348392123712,-8.587534291921147,1,CIA_38
13,5.369150166990882,-9.127723400262605,1.9537480482102394,0,USCBP_02
14,0.7643206004951923,9.432254196900029,3.7629714133761882,0,CIA_07
15,1.8450488864461272,-10.163472880494094,2.449054167428601,1,CIA_09
16,-7.072194290721215,-8.01701335584548,-0.08371321795620491,1,CIA_36
17,-4.170721299980904,-9.448751728879358,0.2500167689659864,1,CIA_31
18,9.242546393842579,3.4805390490884616,1.1713024115221071,3,FBI_18
19,6.993053307509235,-6.395533182827392,-4.768678952725568,3,FBI_27
20,9.580643218792833,1.4400206749488367,3.6941986807326646,3,FBI_20
21,8.019643955397642,-5.474316864566758,5.803479761283562,1,FBI_29
22,3.564354350764648,-2.0758045995996457,-9.186171168727364,1,FBI_16
23,8.224634565372902,-5.60710732925949,1.0878714298366563,0,FBI_11
24,-8.824525621439145,1.5673382892904717,1.6141968614525282,2,NSA_20
25,-9.771349242901216,0.5466580310365935,2.119546576011768,2,NSA_18
26,-9.405849872678669,-0.802462193154518,1.816685964685609,2,NSA_11
27,-8.65716683895303,-2.9877049796160104,-1.7782728721953536,2,NSA_16
28,-8.954122124634816,2.52921080097698,-3.7545583929043866,2,NSA_17
29,-6.114988269155007,6.638009255003701,2.84450853694601,2,NSA_10
30,-7.668415907080611,3.0116914956255365,-3.476482691337907,2,NSA_19
31,-9.496939303388075,1.3050757913992053,-1.9991368850858555,2,NSA_21
32,-7.8047289111603355,6.434840901719581,0.4798970785578233,2,NSA_03
33,2.3699812072824664,7.800861088877492,6.785431379741357,3,NSA_04
34,-7.939286124666925,-1.2479377025574243,4.539040321892154,2,NSA_05
35,-4.497186822519216,8.968328475910686,3.10517057431667,0,NSA_02
36,5.5124168197308885,4.2856575597094455,-8.7325658159952,1,FBI_33
37,5.794142260031462,5.847763431364313,5.247084438225053,3,FBI_34
38,3.0698533478394943,9.079600071992873,-4.322141544247698,0,FBI_02
39,9.020619856298865,-2.658647582452645,3.6694893098216994,0,CIA_40
40,9.613312868339406,-3.0708467241816866,-0.4232498907884822,0,FBI_05
41,9.7715599637994,-0.39258634314090696,-3.5190887138650306,1,CIA_13
42,-0.21200067589797209,-10.288088583436437,-0.5738474841833844,0,CIA_14
43,4.4141822631166665,-3.980782054011566,8.721428070183,3,DIA_01
44,-3.8173023472048317,0.3400356046826125,10.068130269676898,3,CIA_22
45,2.467513853721375,-9.632532370922549,-3.1441766661065778,3,CIA_25
46,2.5583505834488784,10.323398541077196,0.011883169157346392,0,FBI_04
47,8.996735900101967,-4.269513518563309,-3.0783049749807336,0,FBI_03
48,-2.1307727496345126,-8.17136464797459,3.0625052795619214,1,CIA_41
49,6.624747002669405,-7.399023737408804,-0.6107892520986647,0,FBI_35
50,7.509482305530872,5.911211478853693,-4.567484620032498,0,FBI_32
51,2.0280700614878633,2.825211525506081,-9.506679319264334,1,CIA_24
52,-7.7433287498392795,-4.234593302481701,-4.527287148668645,3,CIA_23
53,-1.2499867834506262,3.005030353349057,9.763856100044961,0,CIA_15
54,-4.054961413664732,3.6214650970465865,8.251513787724832,0,CIA_12
55,2.5520902716930483,-7.531900961195789,6.1427097235363,3,FBI_14
56,6.804965206974866,-0.3516253383859366,-4.786592243687723,0,FBI_13
57,8.874105768506041,3.6544390819541426,-2.6047504051864063,0,FBI_25
58,4.773094195330904,7.421313492536847,-1.8833889671333925,0,FBI_22
59,-4.7531628945968745,-7.388957468765013,5.040090652251375,1,CIA_34
60,5.6197808872691315,-1.8396677550343143,7.3646349537188796,3,CIA_33
61,-1.881520125710581,-9.341056602534536,5.762568679776461,1,CIA_05
62,-2.2478793710923504,1.0183186284872772,-10.015544023725555,1,FBI_40
63,1.5882956712937188,-1.0278670330481727,10.65739172191564,0,CIA_02
64,2.2029121858223184,1.553154595879972,0.26089934117231095,0,FBI_23
65,2.1012980462190005,-0.0868391389848977,-10.205716775702731,1,FBI_24
66,10.262485547296908,0.47701577880016754,-0.0474594150818337,0,FBI_12
67,-2.527548629494513,-3.243267055405854,-9.29893314810127,0,FBI_15
68,-0.9273079401966441,0.6155132340679736,-9.363825806421303,1,FBI_41
69,-6.0960572511478395,-6.792558196766232,-5.015069955696377,3,CIA_03
70,6.844577149692306,-0.3397495623023265,-8.156039902901922,1,USCBP_01
71,-2.7854298209213333,-8.92779780675114,-2.817219495087583,1,CIA_04
72,-1.8703224563872556,8.873835200671577,-4.132908664786617,0,CIA_32
73,0.012049725066216098,-9.222651954967905,-6.160374651652709,1,CIA_35
74,-9.592842304389409,0.04799604750033138,-4.604612737883143,2,NSA_15
75,-9.079703122843421,4.606792165905972,0.09616943836930093,2,NSA_12
